"";"ID de l'entité";"Code INSEE";"Type d'entité";"Nom de l'entité";"Editeur de la source";"Commune";"Adresse";"Code Postal";"Coordonnées";"Email";"URL";"Notes";"EPCI";"Département";"Région";"Code Officiel Région";"Nom Officiel Région";"Code Officiel Commune / Arrondissement Municipal";"Nom Officiel Commune / Arrondissement Municipal";"Population municipale";"Population comptée à part";"Population totale";"Code Officiel Département";"Code Officiel Arrondissement Départemental";"Année de recensement";"Année d’entrée en vigueur";"Année de référence géographique";"Nom Officiel EPCI";"Code Officiel EPCI";"Nom Officiel Département";"Dernier Recensement";"Déclaration Obligatoire"
"19143";"mairie-01012-01";"01012";"Mairie";"Mairie - Aranc";"La Direction de l'information légale et administrative (Premier ministre)";"Aranc";"50 place de la Mairie";"01110";"46.0013273, 5.5087919";"mairie.aranc@wanadoo.fr";"http://www.aranc.info";"";"CA Haut - Bugey Agglomération";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01012";"Aranc";327;3;330;"01";1;2020;2023;2022;"CA Haut - Bugey Agglomération";200042935;"Ain";2020;"No"
"6810";"mairie-01013-01";"01013";"Mairie";"Mairie - Arandas";"La Direction de l'information légale et administrative (Premier ministre)";"Arandas";"239 rue de la Mairie";"01230";"45.89675, 5.485944";"mairie.arandas@orange.fr";"";"";"CC de la Plaine de l'Ain";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01013";"Arandas";143;4;147;"01";1;2020;2023;2022;"CC de la Plaine de l'Ain";240100883;"Ain";2020;"No"
"26030";"mairie-01014-01";"01014";"Mairie";"Mairie - Arbent";"La Direction de l'information légale et administrative (Premier ministre)";"Arbent";"1 place de la Mairie";"01100";"46.2945869, 5.680257";"adminarbent@mairie-arbent.fr";"http://www.arbent.fr";"";"CA Haut - Bugey Agglomération";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01014";"Arbent";3336;91;3427;"01";4;2020;2023;2022;"CA Haut - Bugey Agglomération";200042935;"Ain";2020;"No"
"30751";"mairie-01015-01";"01015";"Mairie";"Mairie - Arboys-en-Bugey";"La Direction de l'information légale et administrative (Premier ministre)";"Arboys-en-Bugey";"Place de la Mairie";"01300";"45.7286338806, 5.65058994293";"mairie@arboysenbugey.com";"http://www.arboysenbugey.com";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01015";"Arboys en Bugey";663;15;678;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"No"
"15959";"mairie-01016-01";"01016";"Mairie";"Mairie - Arbigny";"La Direction de l'information légale et administrative (Premier ministre)";"Arbigny";"388 chemin du Roset";"01190";"46.472409, 4.972406";"mairie.arbigny01@wanadoo.fr";"";"";"CC Bresse et Saône";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01016";"Arbigny";458;9;467;"01";2;2020;2023;2022;"CC Bresse et Saône";200071371;"Ain";2020;"No"
"25308";"mairie-01017-01";"01017";"Mairie";"Mairie - Argis";"La Direction de l'information légale et administrative (Premier ministre)";"Argis";"10 rue de l'Usine";"01230";"45.9337997437, 5.49097490311";"mairieargis@wanadoo.fr";"";"";"CC de la Plaine de l'Ain";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01017";"Argis";445;11;456;"01";1;2020;2023;2022;"CC de la Plaine de l'Ain";240100883;"Ain";2020;"No"
"36052";"mairie-01019-01";"01019";"Mairie";"Mairie - Armix";"La Direction de l'information légale et administrative (Premier ministre)";"Armix";"20 place de l'Église";"01510";"45.849748, 5.585527";"mairie.armix@wanadoo.fr";"";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01019";"Armix";26;4;30;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"No"
"15996";"mairie-01021-01";"01021";"Mairie";"Mairie - Ars-sur-Formans";"La Direction de l'information légale et administrative (Premier ministre)";"Ars-sur-Formans";"363 rue Jean-Marie-Vianney";"01480";"45.993598938, 4.82132005692";"mairie@ars-sur-formans.fr";"https://www.ars-sur-formans.fr";"";"CC Dombes Saône Vallée";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01021";"Ars-sur-Formans";1490;30;1520;"01";2;2020;2023;2022;"CC Dombes Saône Vallée";200042497;"Ain";2020;"No"
"4982";"mairie-01022-01";"01022";"Mairie";"Mairie - Artemare";"La Direction de l'information légale et administrative (Premier ministre)";"Artemare";"1 rue des Écoles";"01510";"45.8740997314, 5.69463014603";"mairie@artemare.fr";"http://www.artemare.fr";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01022";"Artemare";1213;16;1229;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"No"
"17230";"mairie-01023-01";"01023";"Mairie";"Mairie - Asnières-sur-Saône";"La Direction de l'information légale et administrative (Premier ministre)";"Asnières-sur-Saône";"23 route du Port";"01570";"46.3837813, 4.8789689";"asnieres.saone.mairie@wanadoo.fr";"";"Accueil ouvert uniquement un vendredi sur deux.";"CC Bresse et Saône";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01023";"Asnières-sur-Saône";76;0;76;"01";2;2020;2023;2022;"CC Bresse et Saône";200071371;"Ain";2020;"No"
"27970";"mairie-01024-01";"01024";"Mairie";"Mairie - Attignat";"La Direction de l'information légale et administrative (Premier ministre)";"Attignat";"305 Grande rue";"01340";"46.289833, 5.1580958";"accueil@attignat.fr";"http://www.attignat.fr";"";"CA du Bassin de Bourg-en-Bresse";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01024";"Attignat";3299;66;3365;"01";2;2020;2023;2022;"CA du Bassin de Bourg-en-Bresse";200071751;"Ain";2020;"No"
"8167";"mairie-01025-01";"01025";"Mairie";"Mairie - Bâgé-Dommartin";"La Direction de l'information légale et administrative (Premier ministre)";"Bâgé-Dommartin";"130 rue de la Mairie";"01380";"46.3165016174, 4.94617986679";"mairie@bage-dommartin.fr";"https://bage-dommartin.fr";"";"CC Bresse et Saône";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01025";"Bâgé-Dommartin";4068;104;4172;"01";2;2020;2023;2022;"CC Bresse et Saône";200071371;"Ain";2020;"Yes"
"8168";"mairie-01025-01";"01025";"Mairie";"Mairie - Bâgé-Dommartin";"La Direction de l'information légale et administrative (Premier ministre)";"Bâgé-Dommartin";"130 rue de la Mairie";"01380";"46.3165016174, 4.94617986679";"mairie@bage-dommartin.fr";"https://bage-dommartin.fr";"";"CC Bresse et Saône";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01025";"Bâgé-la-Ville";3177;80;3257;"01";2;2015;2018;2017;"CC du Pays de Bâgé et de Pont-De-Vaux";200071371;"Ain";2015;"No"
"8663";"mairie-01025-02";"01025";"Mairie";"Mairie déléguée - Dommartin";"La Direction de l'information légale et administrative (Premier ministre)";"Bâgé-Dommartin";"[""""Dommartin"""", """"Le Bourg""""]";"01380";"46.3168, 4.9465";"mairie@bage-dommartin.fr";"https://bage-dommartin.fr";"";"CC Bresse et Saône";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01025";"Bâgé-Dommartin";4068;104;4172;"01";2;2020;2023;2022;"CC Bresse et Saône";200071371;"Ain";2020;"Yes"
"8664";"mairie-01025-02";"01025";"Mairie";"Mairie déléguée - Dommartin";"La Direction de l'information légale et administrative (Premier ministre)";"Bâgé-Dommartin";"[""""Dommartin"""", """"Le Bourg""""]";"01380";"46.3168, 4.9465";"mairie@bage-dommartin.fr";"https://bage-dommartin.fr";"";"CC Bresse et Saône";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01025";"Bâgé-la-Ville";3177;80;3257;"01";2;2015;2018;2017;"CC du Pays de Bâgé et de Pont-De-Vaux";200071371;"Ain";2015;"No"
"35710";"mairie-01026-01";"01026";"Mairie";"Mairie - Bâgé-le-Châtel";"La Direction de l'information légale et administrative (Premier ministre)";"Bâgé-le-Châtel";"5 Grande rue";"01380";"46.3083992004, 4.92790985107";"mairie@bage-le-chatel.fr";"http://www.bagelechatel.fr";"";"CC Bresse et Saône";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01026";"Bâgé-le-Châtel";977;68;1045;"01";2;2020;2023;2022;"CC Bresse et Saône";200071371;"Ain";2020;"No"
"30664";"mairie-01027-01";"01027";"Mairie";"Mairie - Balan";"La Direction de l'information légale et administrative (Premier ministre)";"Balan";"1 place de la Mairie";"01360";"45.8332328796, 5.09675502777";"infos@ville-balan.fr";"http://www.ville-balan.fr";"";"CC de la Côtière à Montluel";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01027";"Balan";2647;52;2699;"01";2;2020;2023;2022;"CC de la Côtière à Montluel";240100610;"Ain";2020;"No"
"20685";"mairie-01028-01";"01028";"Mairie";"Mairie - Baneins";"La Direction de l'information légale et administrative (Premier ministre)";"Baneins";"44 rue Athaneins";"01990";"46.1110678, 4.9036521";"communebaneins@wanadoo.fr";"http://www.mairie-baneins.fr";"";"CC de la Dombes";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01028";"Baneins";625;17;642;"01";2;2020;2023;2022;"CC de la Dombes";200069193;"Ain";2020;"No"
"9701";"mairie-01029-01";"01029";"Mairie";"Mairie - Beaupont";"La Direction de l'information légale et administrative (Premier ministre)";"Beaupont";"331 rue Principale";"01270";"46.410423, 5.26479";"mairie@beaupont.fr";"http://www.beaupont.fr";"";"CA du Bassin de Bourg-en-Bresse";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01029";"Beaupont";683;8;691;"01";2;2020;2023;2022;"CA du Bassin de Bourg-en-Bresse";200071751;"Ain";2020;"No"
"21367";"mairie-01030-01";"01030";"Mairie";"Mairie - Beauregard";"La Direction de l'information légale et administrative (Premier ministre)";"Beauregard";"99 rue Hector-Berlioz";"01480";"46.0028332, 4.75102190000007";"contact@mairie-beauregard.fr";"http://www.mairie-beauregard.fr";"";"CC Dombes Saône Vallée";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01030";"Beauregard";821;15;836;"01";2;2020;2023;2022;"CC Dombes Saône Vallée";200042497;"Ain";2020;"No"
"24870";"mairie-01031-01";"01031";"Mairie";"Mairie - Bellignat";"La Direction de l'information légale et administrative (Premier ministre)";"Bellignat";"10 place de l'Hôtel-de-Ville";"01100";"46.242099762, 5.62868022919";"marie-helene.perrin@bellignat.fr";"http://www.bellignat.fr";"";"CA Haut - Bugey Agglomération";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01031";"Bellignat";3671;234;3905;"01";4;2020;2023;2022;"CA Haut - Bugey Agglomération";200042935;"Ain";2020;"Yes"
"15456";"mairie-01032-01";"01032";"Mairie";"Mairie - Béligneux";"La Direction de l'information légale et administrative (Premier ministre)";"Béligneux";"22 route de la Gare";"01360";"45.851576, 5.129235";"mairie@ville-beligneux.fr";"http://www.ville-beligneux.fr";"";"CC de la Côtière à Montluel";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01032";"Béligneux";3414;29;3443;"01";2;2020;2023;2022;"CC de la Côtière à Montluel";240100610;"Ain";2020;"No"
"7755";"mairie-01033-02";"01033";"Mairie";"Mairie déléguée - Châtillon-en-Michaille";"La Direction de l'information légale et administrative (Premier ministre)";"Valserhône";"[""""Châtillon-en-Michaille"""", """"35 rue de la Poste""""]";"01200";"46.143437, 5.798652";"accueilchatillon@valserhone.fr";"http://www.valserhone.fr";"";"CC du Pays Bellegardien (Ccpb)";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01033";"Bellegarde-sur-Valserine";11666;299;11965;"01";4;2016;2019;2018;"CC du Pays Bellegardien (Ccpb)";240100891;"Ain";2016;"Yes"
"7756";"mairie-01033-02";"01033";"Mairie";"Mairie déléguée - Châtillon-en-Michaille";"La Direction de l'information légale et administrative (Premier ministre)";"Valserhône";"[""""Châtillon-en-Michaille"""", """"35 rue de la Poste""""]";"01200";"46.143437, 5.798652";"accueilchatillon@valserhone.fr";"http://www.valserhone.fr";"";"CC du Pays Bellegardien (Ccpb)";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01033";"Valserhône";16434;336;16770;"01";4;2020;2023;2022;"CC du Pays Bellegardien (CCPB)";240100891;"Ain";2020;"Yes"
"23362";"mairie-01033-01";"01033";"Mairie";"Mairie - Valserhône";"La Direction de l'information légale et administrative (Premier ministre)";"Valserhône";"[""""34 rue de la République"""", """"BP 618""""]";"01200";"46.1074981689, 5.82614994049";"mairie@valserhone.fr";"http://www.valserhone.fr";"";"CC du Pays Bellegardien (Ccpb)";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01033";"Bellegarde-sur-Valserine";11666;299;11965;"01";4;2016;2019;2018;"CC du Pays Bellegardien (Ccpb)";240100891;"Ain";2016;"Yes"
"23363";"mairie-01033-01";"01033";"Mairie";"Mairie - Valserhône";"La Direction de l'information légale et administrative (Premier ministre)";"Valserhône";"[""""34 rue de la République"""", """"BP 618""""]";"01200";"46.1074981689, 5.82614994049";"mairie@valserhone.fr";"http://www.valserhone.fr";"";"CC du Pays Bellegardien (Ccpb)";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01033";"Valserhône";16434;336;16770;"01";4;2020;2023;2022;"CC du Pays Bellegardien (CCPB)";240100891;"Ain";2020;"Yes"
"35771";"mairie-01033-03";"01033";"Mairie";"Mairie déléguée - Lancrans";"La Direction de l'information légale et administrative (Premier ministre)";"Valserhône";"[""""Lancrans"""", """"25 Grande rue""""]";"01200";"46.124767, 5.833585";"accueillancrans@valserhone.fr";"http://www.valserhone.fr";"";"CC du Pays Bellegardien (Ccpb)";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01033";"Bellegarde-sur-Valserine";11666;299;11965;"01";4;2016;2019;2018;"CC du Pays Bellegardien (Ccpb)";240100891;"Ain";2016;"Yes"
"35772";"mairie-01033-03";"01033";"Mairie";"Mairie déléguée - Lancrans";"La Direction de l'information légale et administrative (Premier ministre)";"Valserhône";"[""""Lancrans"""", """"25 Grande rue""""]";"01200";"46.124767, 5.833585";"accueillancrans@valserhone.fr";"http://www.valserhone.fr";"";"CC du Pays Bellegardien (Ccpb)";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01033";"Valserhône";16434;336;16770;"01";4;2020;2023;2022;"CC du Pays Bellegardien (CCPB)";240100891;"Ain";2020;"Yes"
"32028";"mairie-01034-01";"01034";"Mairie";"Mairie - Belley";"La Direction de l'information légale et administrative (Premier ministre)";"Belley";"11 boulevard de Verdun";"01300";"45.760852, 5.686261";"mairie@belley.fr";"http://www.belley.fr";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01034";"Belley";9207;343;9550;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"Yes"
"31786";"mairie-01035-01";"01035";"Mairie";"Mairie - Belleydoux";"La Direction de l'information légale et administrative (Premier ministre)";"Belleydoux";"412 route de la Fauconnière";"01130";"46.25313, 5.777169";"mairie@belleydoux.fr";"http://www.belleydoux.fr";"";"CA Haut - Bugey Agglomération";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01035";"Belleydoux";308;8;316;"01";4;2020;2023;2022;"CA Haut - Bugey Agglomération";200042935;"Ain";2020;"No"
"16823";"mairie-01036-04";"01036";"Mairie";"Mairie déléguée - Vieu";"La Direction de l'information légale et administrative (Premier ministre)";"Valromey-sur-Séran";"[""""Vieu"""", """"1 place de la Mairie""""]";"01260";"45.875259, 5.692943";"commune-vieu@orange.fr";"";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01036";"Belmont-Luthézieu";596;10;606;"01";1;2016;2019;2018;"CC Bugey Sud";200040350;"Ain";2016;"No"
"16824";"mairie-01036-04";"01036";"Mairie";"Mairie déléguée - Vieu";"La Direction de l'information légale et administrative (Premier ministre)";"Valromey-sur-Séran";"[""""Vieu"""", """"1 place de la Mairie""""]";"01260";"45.875259, 5.692943";"commune-vieu@orange.fr";"";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01036";"Valromey-sur-Séran";1334;24;1358;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"No"
"20063";"mairie-01036-03";"01036";"Mairie";"Mairie déléguée - Sutrieu";"La Direction de l'information légale et administrative (Premier ministre)";"Valromey-sur-Séran";"[""""Sutrieu"""", """"320 voie du Tram""""]";"01260";"45.94908, 5.6572829";"mairie.sutrieu@orange.fr";"http://www.valromey-sur-seran.fr";"Accueil ouvert sur rendez-vous le reste de la semaine.";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01036";"Belmont-Luthézieu";596;10;606;"01";1;2016;2019;2018;"CC Bugey Sud";200040350;"Ain";2016;"No"
"20064";"mairie-01036-03";"01036";"Mairie";"Mairie déléguée - Sutrieu";"La Direction de l'information légale et administrative (Premier ministre)";"Valromey-sur-Séran";"[""""Sutrieu"""", """"320 voie du Tram""""]";"01260";"45.94908, 5.6572829";"mairie.sutrieu@orange.fr";"http://www.valromey-sur-seran.fr";"Accueil ouvert sur rendez-vous le reste de la semaine.";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01036";"Valromey-sur-Séran";1334;24;1358;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"No"
"28923";"mairie-01036-02";"01036";"Mairie";"Mairie déléguée - Lompnieu";"La Direction de l'information légale et administrative (Premier ministre)";"Valromey-sur-Séran";"[""""Lompnieu"""", """"233 rue Principale""""]";"01260";"45.961593, 5.659012";"mairie.lompnieu@orange.fr";"http://www.valromey-sur-seran.fr";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01036";"Belmont-Luthézieu";596;10;606;"01";1;2016;2019;2018;"CC Bugey Sud";200040350;"Ain";2016;"No"
"28924";"mairie-01036-02";"01036";"Mairie";"Mairie déléguée - Lompnieu";"La Direction de l'information légale et administrative (Premier ministre)";"Valromey-sur-Séran";"[""""Lompnieu"""", """"233 rue Principale""""]";"01260";"45.961593, 5.659012";"mairie.lompnieu@orange.fr";"http://www.valromey-sur-seran.fr";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01036";"Valromey-sur-Séran";1334;24;1358;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"No"
"32702";"mairie-01036-01";"01036";"Mairie";"Mairie - Valromey-sur-Séran";"La Direction de l'information légale et administrative (Premier ministre)";"Valromey-sur-Séran";"[""""Belmont-Luthézieu"""", """"1 place de la Mairie""""]";"01260";"45.883302, 5.65";"mairie.valromeysurseran@orange.fr";"http://www.valromey-sur-seran.fr";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01036";"Belmont-Luthézieu";596;10;606;"01";1;2016;2019;2018;"CC Bugey Sud";200040350;"Ain";2016;"No"
"32703";"mairie-01036-01";"01036";"Mairie";"Mairie - Valromey-sur-Séran";"La Direction de l'information légale et administrative (Premier ministre)";"Valromey-sur-Séran";"[""""Belmont-Luthézieu"""", """"1 place de la Mairie""""]";"01260";"45.883302, 5.65";"mairie.valromeysurseran@orange.fr";"http://www.valromey-sur-seran.fr";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01036";"Valromey-sur-Séran";1334;24;1358;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"No"
"28628";"mairie-01037-01";"01037";"Mairie";"Mairie - Bénonces";"La Direction de l'information légale et administrative (Premier ministre)";"Bénonces";"660 rue Principale";"01470";"45.82741, 5.477293";"mairie@benonces.com";"http://www.benonces.com";"";"CC de la Plaine de l'Ain";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01037";"Bénonces";309;3;312;"01";1;2020;2023;2022;"CC de la Plaine de l'Ain";240100883;"Ain";2020;"No"
"3855";"mairie-01038-01";"01038";"Mairie";"Mairie - Bény";"La Direction de l'information légale et administrative (Premier ministre)";"Bény";"2 place de la Mairie";"01370";"46.2721061707, 5.28437995911";"mairie@beny01.fr";"http://www.mairie-beny.fr";"";"CA du Bassin de Bourg-en-Bresse";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01038";"Bény";759;19;778;"01";2;2020;2023;2022;"CA du Bassin de Bourg-en-Bresse";200071751;"Ain";2020;"No"
"2005";"mairie-01039-01";"01039";"Mairie";"Mairie - Béon";"La Direction de l'information légale et administrative (Premier ministre)";"Béon";"2 rue du Clusy";"01350";"45.854916, 5.749298";"beon.mairie@wanadoo.fr";"http://www.beon-ain.fr";"";"CC Bugey Sud";"AIN";"AUVERGNE-RHONE-ALPES";84;"Auvergne-Rhône-Alpes";"01039";"Béon";439;7;446;"01";1;2020;2023;2022;"CC Bugey Sud";200040350;"Ain";2020;"No"
